0,1,2,3
0.8141929706738303,0.5186910006293266,0.44716981132075473,0.0
0.7617541640312039,0.6396547590505874,0.7763904653802497,0.0
0.59462346448282,0.4697754749568221,0.5139977603583427,0.0
0.65,0.6557507987220448,0.678927680798005,0.9901283316880553
0.5670162059103908,0.44403206650831356,0.41469013006885996,0.0
0.869098712446352,0.7264789736279401,0.7276410096603303,0.0
0.7404996481351162,0.7147826086956521,0.6099850650736078,1.0
0.8973902728351127,0.7551114174132783,0.686308926780341,0.0
0.6094515568199779,0.7588235294117647,0.8247678018575851,0.0
0.536493971977843,0.5536404160475483,0.7300226871691454,0.0
