x,y,name,ddem,fa,lateral,lisd,rgb,tr,tri,velo,wa,class
758589.1405267346,5346394.483693543,kb13_10,0.903187096118927,1.695590615272522,0.41001781821250916,8.57887077331543,195.0,0.003079533576965332,0.0031604382675141096,-9999.0,2.466984748840332,2.0
758589.2101367131,5346394.483693543,kb13_10,0.9020462036132812,1.842812180519104,0.41001781821250916,10.117789268493652,196.0,0.003168940544128418,0.003216969082131982,-9999.0,2.487522840499878,2.0
758589.2797466912,5346394.483693543,kb13_10,0.9009358286857605,1.827547311782837,0.41001781821250916,12.469197273254395,202.0,0.004086613655090332,0.003268549218773842,1.8193555,2.50982403755188,2.0
758589.3493566694,5346394.483693543,kb13_10,0.8997949361801147,1.826741099357605,0.41001781821250916,13.31859302520752,185.0,0.004086613655090332,0.0032863691449165344,1.8193555,2.5338423252105713,2.0
758589.4189666477,5346394.483693543,kb13_10,0.898654043674469,1.5399826765060425,0.41001781821250916,14.730888366699219,222.0,0.003110051155090332,0.003391809994354844,1.8193555,2.552893877029419,2.0
758589.4885766259,5346394.483693543,kb13_10,0.8985202312469482,1.5391221046447754,0.41001781821250916,12.232142448425293,235.0,0.003079533576965332,0.003400842659175396,1.8193555,2.5670900344848633,2.0
758589.5581866042,5346394.483693543,kb13_10,0.8973793387413025,1.827547311782837,0.41001781821250916,10.096953392028809,237.0,0.004086613655090332,0.0034529422409832478,1.819586,2.5830845832824707,2.0
758589.6277965825,5346394.483693543,kb13_10,0.8962689638137817,1.827547311782837,0.41001781821250916,9.539953231811523,232.0,0.004086613655090332,0.0035326590295881033,1.819586,2.600844144821167,2.0
758589.6974065606,5346394.483693543,kb13_10,0.895128071308136,1.7005903720855713,0.41001781821250916,6.885646820068359,216.0,0.003079533576965332,0.0036360237281769514,1.8199647,2.620333433151245,2.0
758589.7670165391,5346394.483693543,kb13_10,0.8949942588806152,1.697089672088623,0.41001781821250916,7.438904285430908,219.0,0.003110051155090332,0.003762977896258235,1.820722,2.6350858211517334,2.0
758589.8366265172,5346394.483693543,kb13_10,0.8938534259796143,1.842459797859192,0.41001781821250916,10.323689460754395,232.0,0.0031688809394836426,0.003705729031935334,-9999.0,2.650669813156128,2.0
758589.0013067783,5346394.414083537,kb13_10,0.9053794741630554,1.8260321617126465,0.41001781821250916,7.467160701751709,194.0,0.004086613655090332,0.0036641249898821115,-9999.0,2.5156095027923584,2.0
758589.0709167564,5346394.414083537,kb13_10,0.9042385816574097,1.8405423164367676,0.41001781821250916,8.14136028289795,196.0,0.003199458122253418,0.0035670697689056396,-9999.0,2.5338423252105713,2.0
758589.1405267346,5346394.414083537,kb13_10,0.9030976891517639,1.695719599723816,0.41001781821250916,9.113421440124512,197.0,0.003110051155090332,0.0035749117378145456,1.8173026,2.553842782974243,2.0
