train,test,depths
0.39872787,0.46144071,1
0.34577438,0.47315329,2
0.23098564,0.45596127,3
0.15833938,0.43394984,4
0.07624042,0.40604062,5
0.02340995,0.43548838,6
0.01158367,0.50449117,7
0.00674907,0.53187277,8
0.00476432,0.55180233,9
0.00381038,0.57253012,10
