x,y,name,ddem,green,lateral,longitudinal,rgb,tri,vari,wa,class
761787.7795703124,5348317.481418548,sand_4,6.810131072998047,254.0,0.027168136090040207,0.9996315836906433,255.0,0.056962352246046066,1.4024790525436401,51.62908172607422,4.0
761787.8491796874,5348317.481418548,sand_4,6.810131072998047,254.0,0.028127335011959076,0.9996050596237183,255.0,0.056316714733839035,1.5324969291687012,51.63213348388672,4.0
761787.9187890625,5348317.481418548,sand_4,6.810131072998047,254.0,0.02910500019788742,0.9995771050453186,255.0,0.05571131780743599,1.9358022212982178,51.635276794433594,4.0
761787.9883984374,5348317.481418548,sand_4,6.810131072998047,255.0,0.030082639306783676,0.9995481967926025,255.0,0.05538283288478851,2.892495632171631,51.63851547241211,4.0
761788.0580078125,5348317.481418548,sand_4,6.795523643493652,255.0,0.031060246750712395,0.9995183348655701,255.0,0.05492325499653816,3.447272539138794,51.641845703125,4.0
761788.1276171873,5348317.481418548,sand_4,6.795523643493652,255.0,0.032037828117609024,0.9994875192642212,255.0,0.05480901896953583,5.466309070587158,51.64527130126953,4.0
761788.1972265625,5348317.481418548,sand_4,6.795523643493652,255.0,0.032975953072309494,0.9994570016860962,255.0,0.054814524948596954,8.48388957977295,51.64878845214844,4.0
761788.2668359374,5348317.481418548,sand_4,6.795523643493652,255.0,0.033914048224687576,0.9994256496429443,255.0,0.05494871735572815,6.705261707305908,51.65240478515625,4.0
761788.3364453121,5348317.481418548,sand_4,6.795523643493652,255.0,0.03485211730003357,0.9993934035301208,255.0,0.05521480739116669,4.345963954925537,51.65610885620117,4.0
761787.7099609375,5348317.411806621,sand_4,6.810131072998047,254.0,0.02566089853644371,0.9996713995933533,255.0,0.06290507316589355,1.1708420515060425,51.5537109375,4.0
761787.7795703124,5348317.411806621,sand_4,6.810131072998047,254.0,0.026600943878293037,0.9996468424797058,255.0,0.06218823790550232,1.0707556009292603,51.55657958984375,4.0
761787.8491796874,5348317.411806621,sand_4,6.810131072998047,254.0,0.027542361989617348,0.9996213912963867,254.0,0.06157001852989197,1.3578931093215942,51.559539794921875,4.0
761787.9187890625,5348317.411806621,sand_4,6.810131072998047,253.0,0.028520043939352036,0.99959397315979,253.0,0.0610315315425396,1.6951239109039307,51.56259536743164,4.0
761787.9883984374,5348317.411806621,sand_4,6.810131072998047,254.0,0.029497699812054634,0.999565601348877,255.0,0.060755565762519836,2.390122175216675,51.565738677978516,4.0
761788.0580078125,5348317.411806621,sand_4,6.795523643493652,254.0,0.030475325882434845,0.9995363354682922,255.0,0.059663303196430206,5.535089492797852,51.56898498535156,4.0
761788.1276171873,5348317.411806621,sand_4,6.795523643493652,255.0,0.03145292401313782,0.9995060563087463,255.0,0.0595073476433754,7.6452226638793945,51.572322845458984,4.0
761788.1972265625,5348317.411806621,sand_4,6.795523643493652,255.0,0.03241008147597313,0.9994754791259766,255.0,0.05944592505693436,6.336349964141846,51.575748443603516,4.0
761788.2668359374,5348317.411806621,sand_4,6.795523643493652,255.0,0.033348195254802704,0.9994446635246277,255.0,0.05950810760259628,8.202524185180664,51.57927322387695,4.0
761788.3364453121,5348317.411806621,sand_4,6.795523643493652,255.0,0.03428627923130989,0.9994129538536072,255.0,0.05970251187682152,5.9703264236450195,51.582889556884766,4.0
761788.4060546873,5348317.411806621,sand_4,6.795523643493652,255.0,0.03522433713078499,0.999380350112915,255.0,0.060041170567274094,4.4973554611206055,51.58660125732422,4.0
761788.4756640625,5348317.411806621,sand_4,6.784212112426758,255.0,0.03615608066320419,0.9993470907211304,255.0,0.06027766689658165,3.245954990386963,51.59040451049805,4.0
761788.5452734375,5348317.411806621,sand_4,6.784212112426758,255.0,0.036939021199941635,0.9993184804916382,255.0,0.060733843594789505,2.9524457454681396,51.59429931640625,4.0
761787.6403515625,5348317.342194694,sand_4,6.810131072998047,254.0,0.02415360137820244,0.999708890914917,255.0,0.10291513055562973,2.3238346576690674,51.478702545166016,4.0
761787.7099609375,5348317.342194694,sand_4,6.810131072998047,254.0,0.02509368397295475,0.9996857643127441,255.0,0.10035216063261032,1.4841606616973877,51.48138427734375,4.0
761787.7795703124,5348317.342194694,sand_4,6.810131072998047,253.0,0.02603374421596527,0.9996617436408997,254.0,0.09815458208322525,1.3206357955932617,51.484161376953125,4.0
761787.8491796874,5348317.342194694,sand_4,6.810131072998047,253.0,0.026973780244588852,0.9996368288993835,254.0,0.09617036581039429,1.1795724630355835,51.487030029296875,4.0
761787.9187890625,5348317.342194694,sand_4,6.810131072998047,252.0,0.027934905141592026,0.9996104836463928,253.0,0.09445628523826599,4.12765645980835,51.489994049072266,4.0
761787.9883984374,5348317.342194694,sand_4,6.810131072998047,252.0,0.028912575915455818,0.9995827078819275,252.0,0.09352375566959381,8.097243309020996,51.4930534362793,4.0
761788.0580078125,5348317.342194694,sand_4,6.795523643493652,252.0,0.029890218749642372,0.9995539784431458,252.0,0.0924331545829773,10.603633880615234,51.49620819091797,4.0
761788.1276171873,5348317.342194694,sand_4,6.795523643493652,254.0,0.030867833644151688,0.9995242953300476,255.0,0.0917661190032959,9.494877815246582,51.499454498291016,4.0
761788.1972265625,5348317.342194694,sand_4,6.795523643493652,255.0,0.0318443700671196,0.9994936585426331,255.0,0.09139329195022583,8.372749328613281,51.50279235839844,4.0
761788.2668359374,5348317.342194694,sand_4,6.795523643493652,255.0,0.032782502472400665,0.9994633793830872,255.0,0.0912657231092453,9.818504333496094,51.5062255859375,4.0
